name,Season,position,Cluster,Cluster_3,personId,gameId,numMinutes,points,assists,reboundsTotal,reboundsOffensive,reboundsDefensive,steals,blocks,FG%,3P%,FT%
Vince Carter,1617,G F,2,2,1713,73,24.17808219,8.02739726,1.821917808,3.109589041,0.493150685,2.616438356,0.821917808,0.493150685,0.393877551,0.378378378,0.765217391
Dirk Nowitzki,1617,F,2,2,1717,54,25.98148148,14.24074074,1.518518519,6.537037037,0.425925926,6.111111111,0.555555556,0.703703704,0.436578171,0.377990431,0.875
Jason Terry,1617,G,2,2,1891,74,17.93243243,4.148648649,1.324324324,1.432432432,0.202702703,1.22972973,0.621621622,0.27027027,0.432098765,0.426900585,0.827586207
Manu Ginobili,1617,G,2,2,1938,69,18.20289855,7.492753623,2.652173913,2.275362319,0.405797101,1.869565217,1.188405797,0.231884058,0.38952164,0.392070485,0.803738318
Jamal Crawford,1617,G,2,2,2037,82,25.79268293,12.29268293,2.609756098,1.573170732,0.207317073,1.365853659,0.743902439,0.170731707,0.412643678,0.360248447,0.857142857
Tyson Chandler,1617,C,3,0,2199,47,27.08510638,8.446808511,0.638297872,11.46808511,3.255319149,8.212765957,0.70212766,0.510638298,0.671052632,0.0,0.733870968
Pau Gasol,1617,F C,0,0,2200,64,24.921875,12.375,2.34375,7.828125,1.671875,6.15625,0.375,1.09375,0.501655629,0.538461538,0.706521739
Joe Johnson,1617,G F,2,2,2207,78,23.1025641,9.166666667,1.846153846,3.115384615,0.423076923,2.692307692,0.461538462,0.230769231,0.436102236,0.410852713,0.818181818
Richard Jefferson,1617,F,2,2,2210,79,19.94936709,5.670886076,0.987341772,2.569620253,0.35443038,2.215189873,0.329113924,0.126582278,0.44606414,0.333333333,0.740740741
Zach Randolph,1617,F,0,0,2216,73,23.97260274,14.08219178,1.671232877,8.191780822,2.493150685,5.698630137,0.520547945,0.136986301,0.449170124,0.223404255,0.730569948
Tony Parker,1617,G,2,2,2225,63,24.6984127,10.12698413,4.523809524,1.793650794,0.142857143,1.650793651,0.53968254,0.031746032,0.46572935,0.333333333,0.726495726
Mike Dunleavy,1617,G F,2,2,2399,53,15.30188679,5.188679245,0.943396226,2.169811321,0.339622642,1.830188679,0.283018868,0.132075472,0.422727273,0.395522388,0.8
Nene Hilario,1617,F C,0,0,2403,67,17.31343284,9.089552239,0.970149254,4.208955224,1.417910448,2.791044776,0.835820896,0.582089552,0.617128463,0.333333333,0.588832487
Matt Barnes,1617,F,2,2,2440,74,23.5,7.121621622,2.635135135,5.189189189,0.945945946,4.243243243,0.648648649,0.351351351,0.391120507,0.330798479,0.786516854
LeBron James,1617,F,1,1,2544,74,37.2972973,26.40540541,8.72972973,8.635135135,1.310810811,7.324324324,1.243243243,0.594594595,0.547619048,0.362573099,0.674199623
Carmelo Anthony,1617,F,1,1,2546,74,33.7972973,22.41891892,2.878378378,5.918918919,0.837837838,5.081081081,0.810810811,0.459459459,0.433405328,0.358669834,0.832876712
Dwyane Wade,1617,G,1,1,2548,60,29.41666667,18.26666667,3.8,4.5,1.05,3.45,1.433333333,0.683333333,0.433507853,0.310344828,0.793594306
Boris Diaw,1617,F C,2,2,2564,73,17.06849315,4.630136986,2.328767123,2.164383562,0.630136986,1.534246575,0.246575342,0.123287671,0.44648318,0.24691358,0.742857143
Zaza Pachulia,1617,C,3,0,2585,70,17.61428571,6.085714286,1.885714286,5.857142857,2.0,3.857142857,0.842857143,0.471428571,0.534201954,0.0,0.777777778
Kyle Korver,1617,G F,2,2,2594,67,25.67164179,10.11940299,1.641791045,2.776119403,0.104477612,2.671641791,0.507462687,0.313432836,0.46407767,0.451253482,0.904761905
Dwight Howard,1617,F C,3,0,2730,74,29.28378378,13.54054054,1.405405405,12.7027027,4.0,8.702702703,0.864864865,1.243243243,0.632952692,0.0,0.533018868
Shaun Livingston,1617,G,2,2,2733,76,17.19736842,5.118421053,1.828947368,1.986842105,0.368421053,1.618421053,0.5,0.263157895,0.547468354,0.333333333,0.7
Devin Harris,1617,G,2,2,2734,65,16.24615385,6.723076923,2.092307692,1.953846154,0.169230769,1.784615385,0.661538462,0.107692308,0.398826979,0.327683616,0.829457364
Luol Deng,1617,F,2,2,2736,56,26.10714286,7.589285714,1.321428571,5.267857143,1.125,4.142857143,0.857142857,0.357142857,0.386792453,0.309090909,0.73015873
Andre Iguodala,1617,G F,2,2,2738,76,25.76315789,7.552631579,3.434210526,4.0,0.671052632,3.328947368,1.0,0.513157895,0.527710843,0.361581921,0.705882353
